source1_entity_id,missed_target_id,reason,country_mismatch,beyond_rank_cut,postings_budget_dropped
S1-34678397,S3-442075837,beyond_rank_cut,False,True,False
S1-224718114,S3-802507206,no_shared_term,False,False,False
S1-182501847,S2-649120859,no_shared_term,False,False,False
S1-786336737,S3-385647657,beyond_rank_cut,False,True,False
S1-786336737,S3-458700725,no_shared_term,False,False,False
S1-628684611,S2-836493726,no_shared_term,False,False,False
S1-591164384,S3-144131205,beyond_rank_cut,False,True,False
S1-582517376,S3-412527788,beyond_rank_cut,False,True,False
S1-226665882,S2-784108668,beyond_rank_cut,False,True,False
S1-226665882,S3-728309692,beyond_rank_cut,False,True,False
S1-960802747,S2-16194156,beyond_rank_cut,False,True,False
S1-585292554,S2-980041841,no_shared_term,False,False,False
S1-469174529,S3-535054252,no_shared_term,False,False,False
S1-89980766,S3-288337070,beyond_rank_cut,False,True,False
S1-872596687,S3-228317929,beyond_rank_cut,False,True,False
S1-428367603,S3-375777307,beyond_rank_cut,False,True,False
S1-867306224,S3-132320584,beyond_rank_cut,False,True,False
S1-146979578,S3-567808329,beyond_rank_cut,False,True,False
S1-181863891,S2-852678246,beyond_rank_cut,False,True,False
S1-302600890,S2-503209354,no_shared_term,False,False,False
S1-638761893,S2-413559110,no_shared_term,False,False,False
S1-260954118,S2-539150579,beyond_rank_cut,False,True,False
S1-260954118,S3-251464881,beyond_rank_cut,False,True,False
S1-260954118,S3-335238159,beyond_rank_cut,False,True,False
S1-155953824,S2-532272314,beyond_rank_cut,False,True,False
S1-42246345,S2-112471943,no_shared_term,False,False,False
S1-42246345,S2-819580568,no_shared_term,False,False,False
S1-871795726,S2-823813645,beyond_rank_cut,False,True,False
S1-561214660,S2-165853548,beyond_rank_cut,False,True,False
S1-561214660,S2-585368090,beyond_rank_cut,False,True,False
S1-561214660,S3-64925453,beyond_rank_cut,False,True,False
S1-74935566,S2-515292783,no_shared_term,False,False,False
S1-74935566,S3-728419287,no_shared_term,False,False,False
S1-659513101,S3-676663295,beyond_rank_cut,False,True,False
S1-121702559,S3-529299850,beyond_rank_cut,False,True,False
S1-132974661,S3-317972257,no_shared_term,False,False,False
