source1_entity_id,true_match_count,candidate_count,hits,missed_target_ids
S1-509461393,5,300,5,
S1-781563568,0,300,0,
S1-798483771,2,300,2,
S1-877708402,3,300,3,
S1-7145156,4,300,4,
S1-920074342,3,300,3,
S1-158932866,4,300,4,
S1-212612506,1,300,1,
S1-601390709,6,300,6,
S1-498747709,3,300,3,
S1-478222711,5,300,4,S2-58132978
S1-800325541,3,300,3,
S1-636683018,5,300,5,
S1-762603190,3,300,3,
S1-502019687,3,300,2,S3-293670151
S1-813016062,6,300,6,
S1-786650311,3,300,3,
S1-736546905,4,300,4,
S1-968974833,2,300,2,
S1-681562058,3,300,3,
S1-23221235,3,300,3,
S1-43760139,3,300,3,
S1-724002448,2,300,2,
S1-682745804,4,300,4,
S1-724807898,3,300,3,
S1-124171499,3,291,3,
S1-658220826,3,300,3,
S1-22054516,3,300,3,
S1-699373257,4,300,4,
S1-291019091,5,300,5,
S1-946705016,1,300,1,
S1-380524678,2,300,2,
S1-929889627,3,229,3,
S1-349565431,3,300,3,
S1-861512320,6,300,6,
S1-612668251,2,300,2,
S1-850935854,2,300,2,
S1-252446941,3,300,3,
S1-995861008,3,300,3,
S1-2798567,9,300,9,
S1-171165805,2,300,2,
S1-130457838,3,300,3,
S1-573905561,7,300,7,
S1-91290493,5,300,5,
S1-111360364,1,300,1,
S1-594497707,7,300,7,
S1-309756398,2,57,2,
S1-796813715,6,300,6,
S1-133868991,6,300,6,
S1-658114032,2,300,2,
S1-644830606,2,300,0,"S2-794095709,S3-834814676"
S1-756315067,9,300,9,
S1-667039251,6,298,6,
S1-165345147,2,300,2,
S1-945369662,3,300,3,
S1-474517179,3,169,3,
S1-299971145,5,300,5,
S1-1789879,2,300,2,
S1-977286335,2,300,2,
S1-688837276,3,300,3,
S1-398920174,6,300,6,
S1-835801271,0,192,0,
S1-186839549,4,300,4,
S1-639521501,3,300,3,
S1-631275791,4,300,4,
S1-879854006,4,300,4,
S1-165708697,6,300,6,
S1-649601410,5,300,5,
S1-401093901,5,300,5,
S1-548427333,5,300,5,
S1-468662108,4,300,4,
S1-897968857,4,300,4,
S1-376709139,3,300,3,
S1-295663323,3,300,3,
S1-260491318,4,300,4,
S1-832390551,4,240,4,
S1-773476183,2,300,2,
S1-595105854,4,300,4,
S1-638241767,4,300,4,
S1-332388880,5,300,5,
S1-256779946,1,300,1,
S1-694772360,4,300,4,
S1-920343802,4,300,4,
S1-355496746,4,300,4,
S1-760417757,4,300,4,
S1-67844294,5,300,5,
S1-612618378,3,300,3,
S1-181339388,2,300,2,
S1-683978618,4,300,3,S3-753400696
S1-734263786,4,300,4,
S1-181414805,5,300,5,
S1-825187986,8,300,8,
S1-950563352,4,300,4,
S1-695470581,3,300,3,
S1-839067903,6,300,6,
S1-780415726,4,300,4,
S1-914814696,0,300,0,
S1-249766627,5,300,5,
S1-904176918,5,300,5,
S1-362906815,5,300,5,
S1-542132230,0,300,0,
S1-395410015,7,300,7,
S1-926519373,3,300,3,
S1-606617958,4,300,4,
S1-104803077,1,28,1,
S1-334851275,3,300,3,
S1-450465118,2,300,2,
S1-255847609,1,300,1,
S1-8031449,3,300,3,
S1-54146398,3,300,3,
S1-89248141,2,300,2,
S1-282909907,4,300,4,
S1-938669366,0,300,0,
S1-838811027,3,300,3,
S1-620674221,3,300,3,
S1-261952598,4,300,4,
S1-523033957,2,300,2,
S1-97581850,5,300,2,"S3-256916098,S3-3248296,S3-60652506"
S1-261876411,0,300,0,
S1-879253046,2,300,2,
S1-132963003,6,300,6,
S1-139125711,2,300,2,
S1-220696473,3,300,3,
S1-701741704,5,300,5,
S1-682767976,1,300,1,
S1-77439599,2,300,2,
S1-964819879,2,300,2,
S1-83368483,3,238,3,
S1-829699109,2,300,2,
S1-149994458,4,300,4,
S1-520719538,2,300,2,
S1-675864855,5,300,5,
S1-731219685,2,300,2,
S1-168149299,3,300,3,
S1-512264096,1,300,1,
S1-842006083,2,300,1,S2-262876642
S1-399719267,3,300,3,
S1-59511096,5,300,5,
S1-380889983,3,300,3,
S1-554793243,6,300,6,
S1-394535193,3,300,3,
S1-132779781,2,145,2,
S1-120263642,5,300,5,
S1-922468150,3,300,3,
S1-210134280,4,300,4,
S1-949014215,3,300,3,
S1-378514779,3,300,3,
S1-290196545,3,300,2,S2-882931229
S1-725246636,4,300,4,
S1-311279869,7,300,7,
S1-609382204,3,300,3,
S1-328371553,8,300,8,
S1-533367452,2,300,2,
S1-135057141,7,300,7,
S1-111472521,5,300,5,
S1-564256763,0,300,0,
S1-159067707,4,300,4,
S1-204842257,3,300,3,
S1-579726054,0,217,0,
S1-634820673,3,300,3,
S1-232204643,3,300,3,
S1-940237859,2,300,2,
S1-859030799,4,300,2,"S2-808841124,S3-900638540"
S1-241240614,4,300,4,
S1-805397744,2,300,2,
S1-71172417,3,300,2,S3-806740086
S1-183698298,5,300,5,
S1-349502908,0,300,0,
S1-67196162,3,300,3,
S1-143160289,6,300,6,
S1-23446837,2,300,2,
S1-653767159,2,300,2,
S1-170411169,0,300,0,
S1-564606221,5,300,5,
S1-69576315,2,300,2,
S1-90686490,2,300,2,
S1-518565271,5,300,5,
S1-21319235,3,300,3,
S1-268072021,3,300,3,
S1-342047578,4,300,4,
S1-186445604,3,300,3,
S1-331460731,2,300,2,
S1-946424367,3,300,3,
S1-150651852,5,300,5,
S1-136389449,4,300,4,
S1-719254155,3,300,2,S2-349371707
S1-350249253,0,300,0,
S1-128115106,3,300,3,
S1-300118973,0,300,0,
S1-153040983,8,300,8,
S1-902877944,6,300,6,
S1-686514746,5,300,5,
S1-354115190,4,300,4,
S1-463992432,3,300,3,
S1-564740998,5,300,5,
S1-98240074,3,300,3,
S1-723407685,6,300,6,
S1-967315862,6,300,6,
S1-289893991,4,300,4,
S1-383892751,3,300,3,
S1-87584258,3,300,3,
S1-209402179,3,300,3,
S1-327326162,6,300,5,S3-739697873
S1-758350338,5,66,5,
S1-507071242,3,300,3,
S1-303161839,2,300,0,"S2-557617201,S3-602572832"
S1-609340458,2,300,2,
S1-20635454,5,300,5,
S1-531110798,5,300,5,
S1-781657489,2,300,2,
S1-887158282,6,300,5,S3-641292303
S1-401169177,1,300,1,
S1-742204972,0,300,0,
S1-528945775,0,300,0,
S1-711622061,3,300,3,
S1-38082080,3,300,3,
S1-377104780,5,300,5,
S1-612412720,2,300,2,
S1-731879047,5,300,5,
S1-496439698,3,300,3,
S1-194913079,3,219,3,
